Alumno,Nombre,Apellido1,Apellido2,Grupo,email
'c13','LUIS','EGUEDU','TERUEL','NT01','luis@gmail.com'
'c14','CRISTINA IRENE','ELERCUN','FRESQUET','NT01','cristina irene@gmail.com'
'c15','MARIA INES','BERCHOS','MORENO','NT01','maria ines@gmail.com'
'c16','SONIA','BUOX','MORE','NT01','sonia@gmail.com'
'c17','VICTORIA','BRUTÓNS','MERUENDE','NT01','victoria@gmail.com'
'c18','MERCEDES','CEBELLERU','PELEOS','NT01','mercedes@gmail.com'
'c19','FRANCISCO ANTONIO','CELVU','TURREGRUSE','NT01','francisco antonio@gmail.com'
'c20','LEONARDO','CENELEJES','VELENCOENU','NT01','leonardo@gmail.com'
'c21','MARIA TERESA','DOBRE',NULL,'NT01','maria teresa@gmail.com'
'c22','EVA MARIA','DURÁ','PUMERES','NT01','eva maria@gmail.com'
'c23','MERCEDES','ESBRÍ','NEVERRU','NT01','mercedes@gmail.com'
'c24','PAULA','ESCÁMOS','MOROTE','NT01','paula@gmail.com'
'c25','INMACULADA','ESCUDERO','RUIZ','NT01','inmaculada@gmail.com'
'c26','EVA','GERCOE','PESTUR','NT01','eva@gmail.com'
'c27','ROSA','GERCIE','VICENTE','NT01','rosa@gmail.com'
'c28','CARMEN','GEY','BÓDELU','NT01','carmen@gmail.com'
'c29','CARLOS','GILEBERT','MERTÍNOS','NT01','carlos@gmail.com'
'c30','FRANCISCA','GILEBERT','PIERE','NT01','francisca@gmail.com'
'c31','MARÍA TERESA','GONER','ESPONUSE','NT01','maría teresa@gmail.com'
'c32','JESUS','GOMOS','CRESPO','NT01','jesus@gmail.com'
'c33','ROMAN','GÓMOS','SEGURE','NT01','roman@gmail.com'
'c34','CARLOS','GÓMOS','TEMEMES','NT01','carlos@gmail.com'
'c35','JOSÉ','GUNZÁLOS','VOLLEGRESE','NT01','josé@gmail.com'
'c36','EMILIO EUGENIO','GRENÉ','TERUEL','NT01','emilio eugenio@gmail.com'
'c37','CARMEN CLARA','GRESE','LÓPOS','NT01','carmen clara@gmail.com'
'c38','HELENA','HERNENDOS','IGLESIES','NT01','helena@gmail.com'
'c39','Mª DEL MILAGRO','HERNÁNDOS','MUÑOZ','NT01','mª del milagro@gmail.com'
'c40','F. JAVIER','HERRERU','ESTEÑ','NT01','f. javier@gmail.com'
'c41','MARIA JOSE','HUERTES','GIMENOS','NT01','maria jose@gmail.com'
'c42','LUIS','HURTEDU','QUOLES','NT01','luis@gmail.com'
'c43','ESTEFANIA','OVURRE','SULER','NT01','estefania@gmail.com'
'c44','SARA','LLIDÓ','MILLET','NT01','sara@gmail.com'
'c45','RAFAEL LUIS','LLURECH','EYURU','NT01','rafael luis@gmail.com'
'c46','DIANA FLORENTINA','LUPOS','MERTONOS','NT01','diana florentina@gmail.com'
'c47','FERNANDO','MENRESE','ERRUNOS','NT01','fernando@gmail.com'
'c48','ISABEL','MENRESE','SÁNCHOS','NT01','isabel@gmail.com'
'c49','Mª HONORES','MERCU','SEGERRE','NT01','mª honores@gmail.com'
'c50','ESTELA','MERTI','CESEÑ','NT01','estela@gmail.com'
'c51','JUAN JOSE','MERTINOS','GERCIE','NT01','juan jose@gmail.com'
'c52','JOSE MARIA','MERTÍNOS','MECIÁ','NT01','jose maria@gmail.com'
'c53','CIRCUNCISIÓN','MEYER','LOPOS','NT01','circuncisión@gmail.com'
'c54','JUAN CARLOS','MORE','PESTUR','NT01','juan carlos@gmail.com'
'c55','PATRICIA','MUNFURT','GERCÍE','NT01','patricia@gmail.com'
'c56','LUIS JAVIER','MORENO','FUENTES','NT01','luis javier@gmail.com'
'c57','ADELA','PESTUR','FERNÁNDOS','NT01','adela@gmail.com'
'c58','MªTERESA','PEROS','GUNZELOS','NT01','mªteresa@gmail.com'
'c59','ISIDRO RICARDO','PEROS','SENGÜESE','NT01','isidro ricardo@gmail.com'
'c60','JUAN CARLOS','PEROS','SEGURE','NT01','juan carlos@gmail.com'
'c61','MARIA EUGENIA','PEROS','SERRELTE','NT01','maria eugenia@gmail.com'
'c62','BEATRIZ','POÑENE','SENCHU','NT01','beatriz@gmail.com'
'c63','JESUS FELIPE','RODRÍGUOS','GONZÁLOS','NT01','jesus felipe@gmail.com'
'c64','LUIS ALFONSO','RUNDE','OVERS','NT01','luis alfonso@gmail.com'
'c65','SERGIO','RUZES','TURRENTE','NT01','sergio@gmail.com'
'c66','LARA','RUOZ','ZEREGUZE','NT01','lara@gmail.com'
'c67','ANGELES','SÁNCHOS','IRLES','NT01','angeles@gmail.com'
'c68','MARIA MERCEDES','SÁNCHOS','MUÑOZ','NT01','maria mercedes@gmail.com'
'c69','JOAQUIN','SENCHÍS','CRESPU','NT01','joaquin@gmail.com'
