#Empleaod   Película
Anastasio   Doce_Monos
Anastasio   Ex_Machina
Anastasio   The_Matrix
Paquito  Doce_Monos
Paquito  Alien_El_Octavo_Pasajero
Paquito  Terminator
Frida The_Matrix
Frida Blade_Runner
Frida Regreso_al_Futuro
Jorgina  Doce_Monos
Jorgina  Alien_El_Octavo_Pasajero
Jorgina  Terminator
Ronaldo  2001_Una_Odisea_en_el_espacio
Ronaldo  Encuentros_en_la_Tercera_Fase
Ronaldo	Ex_Machina
Juanele  2001_Una_Odisea_en_el_espacio
Juanele  Encuentros_en_la_Tercera_Fase
Juanele  Ex_Machina
Raimundo Primer
Raimundo The_Matrix
Raimundo Blade_Runner
Vicent   Gattaca
Vicent   Blade_Runner
Vicent   Regreso_al_Futuro
